v1.0.0-JW8507,JW8507 正式版，支持自定义端口数量与基础串口配置
v1.1.0-JW8507,新增 TCP 远程连接与远程调用
v1.1.1-JW8507,修正自动化连接时的本机 IP 获取逻辑
v1.0.0-JW8103A,JW8103A 正式版，支持 4 通道功率监测与远程控制
v1.0.1-JW8103A,优化记录文件分段保存并新增功率曲线图
v1.0.2-JW8103A,支持自定义通道名称并同步到记录文件表头
v1.0.3-JW8103A,新增局域网服务发现并修正最大最小值更新逻辑
v1.0.4-JW8103A,扩展自动化协议并新增自动连接能力
v1.0.5-JW8103A,补充远程控制指令
v1.0.6-JW8103A,修正远程控制指令处理
v1.0.7-JW8103A,修正串口打开逻辑
v1.0.8-JW8103A,修正远程控制响应
v1.0.9-JW8103A,新增单通道图像导出
v1.0.10-JW8103A,问题排查版本
v1.0.11-JW8103A,为记录文件写入增加文件锁
v2.0.0-Combined,合并 JW8507 与 JW8103A 项目，统一入口、目录结构、配置与 TCP 兼容层
